fid,Region,Departemen,Commune,Designatio,No_IRH,Long,Lat,Entreprise,Type_Ouvra,Date_Recep,Aquifere,Prof__Tota,X_dd,Y_dd,ProfTOt
3916,THIES,THIES,Keur Moussa,KIRENE P 11,10-3X-0013,"-17°02'30""","14°40'45""",INTRAFOR,Piezometre,1971/07/15,Maastrichtien,167.5,-17.0416666667,14.6791666667,167.5
3917,THIES,THIES,Keur Moussa,KIRENE P 11 Bis,10-3X-0014,"-17°01'56""","14°41'03""",INTRAFOR,Piezometre,1971/07/15,Maastrichtien,426.7,-17.0322222222,14.6841666667,426.7
3918,THIES,THIES,Keur Moussa,KIRENE S 5,10-3X-0012,"-17°02'15""","14°40'45""",INTRAFOR,Forage,1971/07/15,Maastrichtien,195.4,-17.0375,14.6791666667,195.4
3919,THIES,THIES,Keur Moussa,LELO OUOLOF,10-3X-0166,"-17°05'56""","14°45'18""",,Sondage,1951/01/13,,379,-17.0988888889,14.755,379
3920,THIES,THIES,Keur Moussa,NDIRENE,10-3X-0170,"-17°06'20""","14°47'32""",HYDRAF,Sondage,1953/07/01,Quaternaire,48,-17.1055555556,14.7922222222,48
3921,THIES,THIES,Keur Moussa,PCP2 (Zone de Pout),10-3X-0296,"-17°00'48""","14°48'03""",TREVI Spa,Piezometre,1998/03/04,Paleocene,80,-17.0133333333,14.8008333333,80
3922,THIES,THIES,Keur Moussa,PMP6 (Zone de Pout),10-3X-0294,"-17°00'45""","14°45'51""",TREVI Spa,Piezometre,1998/06/26,Maastrichtien,199,-17.0125,14.7641666667,199
3923,THIES,THIES,Keur Moussa,POUT,10-3X-0126,"-17°04'45""","14°47'41""",HMGC,Forage,2010/01/23,Quaternaire,54,-17.0791666667,14.7947222222,54
3924,THIES,THIES,Keur Moussa,POUT,10-3X-0358,"-17°04'45""","14°47'41""",HMGC-GIE,Forage,2010/01/23,Continental terminal,54,-17.0791666667,14.7947222222,54
3925,THIES,THIES,Keur Moussa,POUT 1,10-3X-0101,"-17°01'00""","14°46'00""",SAP,Sondage,1956/09/05,,1.03,-17.0166666667,14.7666666667,1.03
3926,THIES,THIES,Keur Moussa,POUT 2,10-3X-0156,"-17°02'02""","14°42'40""",SAP,Sondage,1959/11/19,,2.1,-17.0338888889,14.7111111111,2.1
3927,THIES,THIES,Keur Moussa,POUT ESCALE,10-3X-0252,"-17°00'50""","14°48'50""",PRAKLA,Forage,1988/11/02,Maastrichtien,400,-17.0138888889,14.8138888889,400
3928,THIES,THIES,Keur Moussa,POUT ESCALE,10-3X-0254,"-17°02'20""","14°45'50""",PRAKLA,Forage,1988/12/12,Maastrichtien,300,-17.0388888889,14.7638888889,300
3929,THIES,THIES,Keur Moussa,POUT ESCALE,10-3X-0255,"-17°01'00""","14°44'00""",PRAKLA,Forage,1989/03/11,Maastrichtien,320,-17.0166666667,14.7333333333,320
3930,THIES,THIES,Keur Moussa,POUT ESCALE,10-3X-0264,"-17°02'40""","14°45'30""",COFOR,Forage,1987/09/04,Maastrichtien,320.5,-17.0444444444,14.7583333333,320.5
3931,THIES,THIES,Keur Moussa,POUT F1,10-3X-0001,"-17°01'15""","14°45'15""",SASIF,Forage,1963/09/24,Paleocene,70.2,-17.0208333333,14.7541666667,70.2
3932,THIES,THIES,Keur Moussa,POUT F2,10-3X-0002,"-17°01'25""","14°44'55""",SASIF,Forage,1965/02/03,Paleocene,70,-17.0236111111,14.7486111111,70
3933,THIES,THIES,Keur Moussa,POUT F3,10-3X-0003,"-17°01'30""","14°44'25""",SASIF,Forage,1965/04/02,Paleocene,70.05,-17.025,14.7402777778,70.05
3934,THIES,THIES,Keur Moussa,POUT F4,10-3X-0004,"-17°01'00""","14°45'55""",SASIF,Forage,1973/03/12,Paleocene,65.4,-17.0166666667,14.7652777778,65.4
3935,THIES,THIES,Keur Moussa,POUT F5,10-3X-0021,"-17°01'00""","14°44'00""",SASIF,Forage,1979/08/03,Paleocene,81.25,-17.0166666667,14.7333333333,81.25
3936,THIES,THIES,Keur Moussa,POUT KYRENE F9 bis,10-3X-0213,"-17°03'05""","14°44'50""",INTRAFOR,Forage,1987/07/09,Maastrichtien,270,-17.0513888889,14.7472222222,270
3937,THIES,THIES,Keur Moussa,POUT NORD EST,10-3X-0346,"-17°00'58""","14°49'20""",SEHI SENEGAL,Forage,,Maastrichtien,326,-17.0161111111,14.8222222222,326
3938,THIES,THIES,Keur Moussa,POUT NORD F6,10-3X-0199,"-17°01'00""","14°49'20""",SASIF,Forage,1983/11/25,Paleocene,492,-17.0166666667,14.8222222222,492
3939,THIES,THIES,Keur Moussa,POUT NOTO S 7821,10-3X-0025,"-17°01'23""","14°47'43""",COFOR,Piezometre,1978/03/13,Paleocene,120,-17.0230555556,14.7952777778,120
3940,THIES,THIES,Keur Moussa,POUT NOTO S 7822,10-3X-0027,"-17°01'24""","14°47'35""",COFOR,Piezometre,1978/03/13,Paleocene,90,-17.0233333333,14.7930555556,90
3941,THIES,THIES,Keur Moussa,POUT NOTO S 7842,10-3X-0028,"-17°00'58""","14°44'53""",COFOR,Forage,1978/05/28,Paleocene,85,-17.0161111111,14.7480555556,85
3942,THIES,THIES,Keur Moussa,POUT PK5,10-3X-0279,"-17°03'50""","14°46'25""",COFOR,Forage,1993/11/23,Maastrichtien,335,-17.0638888889,14.7736111111,335
3943,THIES,THIES,Keur Moussa,POUT PMP4,10-3X-0029,"-17°00'58""","14°48'36""",COFOR,Piezometre,1978/06/08,Paleocene,66,-17.0161111111,14.81,66
3944,THIES,THIES,Keur Moussa,POUT PN9 BIS,10-3X-0184,"-17°03'50""","14°46'25""",SOAF,Forage,2011/01/12,Maastrichtien,360,-17.0638888889,14.7736111111,360
3945,THIES,THIES,Keur Moussa,POUT PS 6,10-3X-0019,"-17°01'00""","14°46'00""",COFOR,Piezometre,1971/03/09,Maastrichtien,401.5,-17.0166666667,14.7666666667,401.5
3946,THIES,THIES,Keur Moussa,POUT PS2 BIS,10-3X-0134,"-17°03'50""","14°46'25""",SOAF,Forage,2011/07/29,Maastrichtien,310,-17.0638888889,14.7736111111,310
3947,THIES,THIES,Keur Moussa,POUT S 7 Bis,10-3X-0022,"-17°01'37""","14°45'12""",SASIF,Forage,1974/08/07,Maastrichtien,319.4,-17.0269444444,14.7533333333,319.4
3948,THIES,THIES,Keur Moussa,POUT S 8,10-3X-0023,"-17°01'37""","14°45'12""",SASIF,Forage,1974/07/16,Maastrichtien,358,-17.0269444444,14.7533333333,358
3949,THIES,THIES,Keur Moussa,POUT S1 pres F1,10-3X-0015,"-17°01'18""","14°45'15""",SASIF,Piezometre,1963/10/12,Paleocene,70,-17.0216666667,14.7541666667,70
3950,THIES,THIES,Keur Moussa,POUT S6,10-3X-0006,"-17°03'45""","14°45'35""",COFOR,Forage,1971/04/30,Maastrichtien,327,-17.0625,14.7597222222,327
3951,THIES,THIES,Keur Moussa,POUT SE 112,10-3X-0010,"-17°00'25""","14°43'10""",SASIF,Piezometre,1964/01/29,Paleocene,68,-17.0069444444,14.7194444444,68
3952,THIES,THIES,Keur Moussa,POUT SE 124,10-3X-0008,"-17°01'18""","14°45'35""",SASIF,Piezometre,1963/07/02,Paleocene,63.3,-17.0216666667,14.7597222222,63.3
3953,THIES,THIES,Keur Moussa,POUT SE 126,10-3X-0017,"-17°01'47""","14°45'31""",SASIF,Piezometre,1964/02/13,Paleocene,52.8,-17.0297222222,14.7586111111,52.8
3954,THIES,THIES,Keur Moussa,POUT SE 133,10-3X-0007,"-17°00'49""","14°46'10""",SIF,Piezometre,1963/04/08,Paleocene,59.8,-17.0136111111,14.7694444444,59.8
3955,THIES,THIES,Keur Moussa,POUT SE 78,10-3X-0009,"-17°02'10""","14°45'43""",SASIF,Piezometre,1964/02/22,Paleocene,70.5,-17.0361111111,14.7619444444,70.5
3956,THIES,THIES,Keur Moussa,POUT SUD F 3 Bis,10-3X-0024,"-17°01'00""","14°44'00""",INTRAFOR,Forage,1981/01/06,Paleocene,80,-17.0166666667,14.7333333333,80
3957,THIES,THIES,Keur Moussa,POUT SUD F1 bis,10-3X-0194,"-17°00'50""","14°45'29""",INTRAFOR,Forage,1983/11/30,Paleocene,443,-17.0138888889,14.7580555556,443
3958,THIES,THIES,Keur Moussa,POUT SUD F3 ter,10-3X-0196,"-17°00'53""","14°44'51""",INTRAFOR,Forage,1984/01/27,Maastrichtien,270.6,-17.0147222222,14.7475,270.6
3959,THIES,THIES,Keur Moussa,POUT SUD F8 bis,10-3X-0195,"-17°03'05""","14°45'10""",INTRAFOR,Forage,1983/08/26,Paleocene,338.14,-17.0513888889,14.7527777778,338.14
3960,THIES,THIES,Keur Moussa,POUT SUD FP 4,10-3X-0251,"-17°02'40""","14°45'30""",PRAKLA,Forage,1989/03/24,Maastrichtien,320,-17.0444444444,14.7583333333,320
3961,THIES,THIES,Keur Moussa,POUT SUD S 2,10-3X-0016,"-17°01'41""","14°45'44""",SASIF,Piezometre,1963/10/31,Paleocene,61.8,-17.0280555556,14.7622222222,61.8
3962,THIES,THIES,Keur Moussa,POUT VIEUX,10-3X-0020,"-17°03'43""","14°45'52""",INTRAFOR,Forage,1971/05/05,Maastrichtien,341.5,-17.0619444444,14.7644444444,341.5
3963,THIES,THIES,Keur Moussa,SANTHIE SERERE,10-3X-0098,"-17°05'02""","14°46'00""",,Sondage,,,206,-17.0838888889,14.7666666667,206
3964,THIES,THIES,Keur Moussa,SE 130,10-3X-0082,"-17°02'54""","14°50'18""",,Piezometre,1965/07/19,Paleocene,46,-17.0483333333,14.8383333333,46
3965,THIES,THIES,Keur Moussa,SE.102.M,10-3X-0005,"-17°00'40""","14°45'10""",SASIF,Piezometre,1963/06/18,Maastrichtien,159.3,-17.0111111111,14.7527777778,159.3
3966,THIES,THIES,Keur Moussa,SE.110.P,10-3X-0311,"-17°00'55""","14°44'22""",,Piezometre,1963/12/13,Paleocene,104,-17.0152777778,14.7394444444,104
3967,THIES,THIES,Keur Moussa,SE.110-M,10-3X-0018,"-17°00'52""","14°44'56""",SASIF,Piezometre,1963/12/13,Maastrichtien,104,-17.0144444444,14.7488888889,104
3968,THIES,THIES,Keur Moussa,SEBIKOTANE,10-3X-0111,"-17°06'40""","14°46'40""",,Forage,,Paleocene,94,-17.1111111111,14.7777777778,94
3969,THIES,THIES,Keur Moussa,SOUNE SERERE,10-3X-0133,"-17°03'54""","14°44'42""",HICS,Forage,2013/06/25,Maastrichtien,219,-17.065,14.745,219
3970,THIES,THIES,Keur Moussa,SOUNE THIAMBOKH,10-3X-0359,"-17°03'02""","14°41'45""",SONAFOR,Forage,1997/12/23,Maastrichtien,171,-17.0505555556,14.6958333333,171
3971,THIES,THIES,Keur Moussa,TOUBA POUT,10-3X-0124,"-17°03'10""","14°46'03""",SASIF,Forage,1998/11/28,Maastrichtien,329,-17.0527777778,14.7675,329
3972,THIES,THIES,Ngoudiane,DIACK MBODOKHANE,11-1X-0113,"-16°42'53""","14°41'30""",,Forage,,Paleocene,176.64,-16.7147222222,14.6916666667,176.64
3973,THIES,THIES,Ngoudiane,DIAK MBODOKHANE 2,11-1X-0078,"-16°43'00""","14°41'40""",HENAN-CHINE,Forage,1987/02/13,Paleocene,176.64,-16.7166666667,14.6944444444,176.64
3974,THIES,THIES,Ngoudiane,MBROUVAILLE,11-1X-0036,"-16°43'16""","14°42'25""",PARSONS,Forage,1968/08/03,Continental terminal,37.8,-16.7211111111,14.7069444444,37.8
3975,THIES,THIES,Ngoudiane,NGOUNDIANE,11-1X-0103,"-16°42'20""","14°43'35""",HENAN CHINE,Forage,2006/02/28,Maastrichtien,330,-16.7055555556,14.7263888889,330
3976,THIES,THIES,Ngoudiane,NGOUNDIANE DIOR,11-1X-0052,"-16°44'10""","14°43'00""",INTRAFOR,Forage,1981/10/24,Maastrichtien,350,-16.7361111111,14.7166666667,350
3977,THIES,THIES,Noto,BABACK SERERE,11-1X-0015,"-16°54'20""","14°42'20""",CARITAS,Forage,1976/05/23,Eocene,223,-16.9055555556,14.7055555556,223
3978,THIES,THIES,Noto,BABACK SERERE,11-1X-0026,"-16°54'12""","14°41'54""",SASIF,Puits-forage,1973/11/23,Eocene,38.5,-16.9033333333,14.6983333333,38.5
3979,THIES,THIES,Noto,BOUSNAKH,11-1X-0111,"-16°48'59""","14°40'48""",,Forage,,Paleocene,149,-16.8163888889,14.68,149
3980,THIES,THIES,Noto,DIOUNGANE,11-1X-0042,"-16°55'10""","14°41'51""",PARSONS,Forage,1968/12/27,Continental terminal,15.84,-16.9194444444,14.6975,15.84
3981,THIES,THIES,Noto,HANENE,11-1X-0022,"-16°50'08""","14°44'06""",CARITAS,Forage,1977/06/07,Quaternaire,16,-16.8355555556,14.735,16
3982,THIES,THIES,Noto,HANENE,11-1X-0049,"-16°50'00""","14°44'10""",CARITAS,Forage,1980/01/03,Quaternaire,24,-16.8333333333,14.7361111111,24
3983,THIES,THIES,Noto,HANENE,11-1X-0089,"-16°50'00""","14°44'00""",SASIF,Forage,1994/01/01,Paleocene,178.5,-16.8333333333,14.7333333333,178.5
3984,THIES,THIES,Noto,KEUR MADARO NIANG,11-1X-0047,"-16°51'00""","14°45'50""",PARSONS,Forage,1969/01/14,Continental terminal,16.15,-16.85,14.7638888889,16.15
3985,THIES,THIES,Noto,KEUR MADARRO NIANG,11-1X-0097,"-16°51'13""","14°45'53""",CDE,Puits moderne,,Quaternaire,13,-16.8536111111,14.7647222222,13
3986,THIES,THIES,Noto,KEUR MORY FALL,11-1X-0085,"-16°49'50""","14°41'35""",SASIF,Forage,1990/12/10,Maastrichtien,282,-16.8305555556,14.6930555556,282
3987,THIES,THIES,Noto,KEUR NDIOL DIENG,11-1X-0114,"-16°48'25""","14°40'43""",,Forage,,Paleocene,140,-16.8069444444,14.6786111111,140
3988,THIES,THIES,Noto,KISSANE,11-1X-0023,"-16°57'00""","14°40'03""",CARITAS,Forage,1977/06/23,Paleocene,150,-16.95,14.6675,150
3989,THIES,THIES,Noto,MANDAGRY OUOLOF,11-1X-0120,"-16°48'06""","14°40'57""",CSL SENEGAL,Piezometre,2010/02/15,Maastrichtien,360,-16.8016666667,14.6825,360
3990,THIES,THIES,Noto,MBOMBOYE,11-1X-0017,"-16°55'51""","14°42'35""",CARITAS,Forage,1976/01/05,Paleocene,234,-16.9308333333,14.7097222222,234
3991,THIES,THIES,Noto,MBOMBOYE,11-1X-0122,"-16°55'27""","14°42'27""",CSL SENEGAL,Forage,2010/07/15,Maastrichtien,371,-16.9241666667,14.7075,371
3992,THIES,THIES,Noto,NGOLFANING,11-4X-0001,"-16°57'27""","14°37'41""",CARITAS,Forage,1977/07/03,Paleocene,142.3,-16.9575,14.6280555556,142.3
3993,THIES,THIES,Noto,NGOLLAR SERERE,11-1X-0051,"-16°50'30""","14°40'30""",CARITAS,Forage,1980/07/14,Eocene,146,-16.8416666667,14.675,146
3994,THIES,THIES,Noto,NOTO,"05-7X-0104","-16°52'45""","14°41'42""",SENEGAL/SE- SONA,Forage,2002/01/06,Paleocene,153,-16.8791666667,14.695,153
3995,THIES,THIES,Noto,NOTTO,11-1X-0024,"-16°52'40""","14°42'14""",CARITAS,Forage,1977/07/15,Paleocene,148,-16.8777777778,14.7038888889,148
3996,THIES,THIES,Noto,SANGUE,11-1X-0041,"-16°57'37""","14°42'11""",PARSONS,Sondage,1968/12/21,Quaternaire,14.32,-16.9602777778,14.7030555556,14.32
3997,THIES,THIES,Noto,SANGUE,11-1X-0081,"-16°56'30""","14°41'32""",HENAN-CHINE,Forage,1987/05/13,Maastrichtien,330.21,-16.9416666667,14.6922222222,330.21
3998,THIES,THIES,Noto,SANGUE DOUKA,11-1X-0115,"-16°57'01""","14°41'46""",,Forage,,Maastrichtien,226,-16.9502777778,14.6961111111,226
3999,THIES,THIES,Noto,SOMONE,10-3X-0011,"-16°59'57""","14°40'32""",SASIF,Piezometre,1964/02/27,Paleocene,67.5,-16.9991666667,14.6755555556,67.5
4000,THIES,THIES,Noto,THIEO,11-4X-0100,"-16°58'50""","14°39'20""",CARITAS,Forage,1980/08/08,Paleocene,124,-16.9805555556,14.6555555556,124
4001,THIES,THIES,Noto,THIEO,11-4X-0106,"-16°59'00""","14°38'50""",SONAFOR,Forage,1981/09/04,Paleocene,80,-16.9833333333,14.6472222222,80
4002,THIES,THIES,Tassette,GUELOR SERERE,11-4X-0024,"-16°44'55""","14°38'35""",CARITAS,Forage,1978/04/22,Paleocene,118,-16.7486111111,14.6430555556,118
4003,THIES,THIES,Tassette,JOAL,11-4X-0189,"-16°52'33""","14°37'04""",Keur DRILL Sarl,Forage,2006/09/20,Paleocene,78.8,-16.8758333333,14.6177777778,78.8
4004,THIES,THIES,Tassette,KEUR ABDOULAYE DIAW,11-4X-0005,"-16°53'30""","14°32'05""",SONAFOR,Forage,1976/11/19,Paleocene,56,-16.8916666667,14.5347222222,56
4005,THIES,THIES,Tassette,MBOUSNAKH,11-4X-0141,"-16°47'00""","14°39'30""",SASIF,Forage,1993/01/01,Paleocene,149,-16.7833333333,14.6583333333,149
4006,THIES,THIES,Tassette,MBOUSNAKH NGOURBANE,11-4X-0116,"-16°46'55""","14°39'35""",CARITAS,Forage,1977/06/02,Paleocene,142,-16.7819444444,14.6597222222,142
4007,THIES,THIES,Tassette,"P5.2 KEUR NDIGUE FAYE
(Djilakh",11-4X-0123,"-16°51'30""","14°31'11""",SONAFOR,Piezometre,1987/04/17,Paleocene,80.4,-16.8583333333,14.5197222222,80.4
4008,THIES,THIES,Tassette,POUT DIACK,11-4X-0098,"-16°51'20""","14°39'40""",CARITAS,Forage,1980/07/19,Paleocene,132,-16.8555555556,14.6611111111,132
4009,THIES,THIES,Tassette,POUT DIACK,11-4X-0153,"-16°51'10""","14°39'42""",CARITAS,Forage,1980/07/19,Paleocene,132,-16.8527777778,14.6616666667,132
4010,THIES,THIES,Tassette,SIPANE P9,11-4X-0003,"-16°56'21""","14°37'07""",INTRAFOR,Piezometre,1971/06/28,Paleocene,60.85,-16.9391666667,14.6186111111,60.85
4011,THIES,THIES,Tassette,TASSETTE OUOLOF,11-4X-0108,"-16°52'00""","14°36'26""",INTRAFOR,Forage,1971/01/01,Paleocene,130,-16.8666666667,14.6072222222,130
4012,THIES,THIES,Thieneba,BANGADJ II,11-1X-0109,"-16°48'35""","14°49'08""",ASCON Lda,Forage,2007/08/07,Eocene,53,-16.8097222222,14.8188888889,53
4013,THIES,THIES,Thieneba,BANGADJI,11-1X-0079,"-16°48'30""","14°49'30""",HENAN-CHINE,Forage,1986/11/17,Eocene,56.24,-16.8083333333,14.825,56.24
4014,THIES,THIES,Thieneba,BANGADJI,11-1X-0108,"-16°48'17""","14°49'08""",ASCON LDA,Forage,2007/07/28,Eocene,52,-16.8047222222,14.8188888889,52
4015,THIES,THIES,Thieneba,DAROU SAMB,11-1X-0112,"-16°49'44""","14°49'44""",,Forage,,Eocene,47,-16.8288888889,14.8288888889,47
4016,THIES,THIES,Thieneba,DEMONDJI,11-1X-0095,"-16°49'45""","14°48'10""",CARITAS,Forage,1999/02/27,Quaternaire,70,-16.8291666667,14.8027777778,70
4017,THIES,THIES,Thieneba,DIAYANE,11-1X-0124,"-16°48'13""","14°52'06""",CSL SENEGAL,Forage,2010/12/08,Maastrichtien,465,-16.8036111111,14.8683333333,465
4018,THIES,THIES,Thieneba,KEUR BANDA NIANG,11-1X-0020,"-16°46'10""","14°44'50""",CARITAS,Forage,1977/05/06,Paleocene,181,-16.7694444444,14.7472222222,181
4019,THIES,THIES,Thieneba,KEUR DFEMBA ANTA,11-1X-0054,"-16°49'00""","14°48'00""",CARITAS,Forage,1980/02/01,Eocene,200,-16.8166666667,14.8,200
4020,THIES,THIES,Thieneba,THIENABA,11-1X-0064,"-16°48'00""","14°45'59""",SASIF,Forage,2004/08/17,Maastrichtien,400,-16.8,14.7663888889,400
4021,THIES,THIES,Thieneba,THIENABA,11-1X-0075,"-16°47'17""","14°45'54""",PRAKLA,Piezometre,1988/09/11,Maastrichtien,300,-16.7880555556,14.765,300
4022,THIES,THIES,Thieneba,THIENABA F2,11-1X-0128,"-16°48'00""","14°45'59""",HENAN CHINE,Forage,2010/06/21,Maastrichtien,392,-16.8,14.7663888889,392
4023,THIES,THIES,Thieneba,THIENABA I,11-1X-0030,"-16°47'41""","14°45'40""",SERPS,Sondage,1955/04/23,,3.4,-16.7947222222,14.7611111111,3.4
4024,THIES,THIES,Touba Toul,KEUR YABA DIOP,11-1X-0070,"-16°44'20""","14°49'00""",INTRAFOR,Forage,1982/10/18,Eocene,46,-16.7388888889,14.8166666667,46
4025,THIES,THIES,Touba Toul,KEUR YABA DIOP P2,11-1X-0035,"-16°44'49""","14°48'54""",PERFORACIONE S MENDEZ,Piezometre,2014/02/25,Eocene,57,-16.7469444444,14.815,57
4026,THIES,THIES,Touba Toul,NDIAKHOU,11-2X-0041,"-16°38'30""","14°46'10""",HENAN-CHINE,Forage,1987/01/05,Eocene,54.42,-16.6416666667,14.7694444444,54.42
4027,THIES,THIES,Touba Toul,TOUBA TOUL,11-1X-0077,"-16°40'05""","14°49'10""",HENAN-CHINE,Forage,1986/10/24,Eocene,51,-16.6680555556,14.8194444444,51
4028,THIES,TIVAOUNE,Cherif Lo,KEUR AMARY COUMBA,11-1X-0066,"-16°47'40""","14°53'10""",CARITAS,Forage,1981/04/25,Eocene,87,-16.7944444444,14.8861111111,87
4029,THIES,TIVAOUNE,Cherif Lo,KOUDIADIENE,11-1X-0067,"-16°52'00""","14°54'00""",CARITAS,Forage,,Eocene,75,-16.8666666667,14.9,75
4030,THIES,TIVAOUNE,Cherif Lo,TEROKH,11-1X-0074,"-16°50'50""","14°57'10""",COFOR,Forage,1989/02/18,Maastrichtien,358,-16.8472222222,14.9527777778,358
4031,THIES,TIVAOUNE,Cherif Lo,TIVAOUANE,11-1X-0031,"-16°49'05""","14°57'10""",BONNE ESPERANCE,Forage,1963/12/31,Maastrichtien,440,-16.8180555556,14.9527777778,440
4032,THIES,TIVAOUNE,Cherif Lo,YENDAME,11-1X-0068,"-16°51'00""","14°56'40""",CARITAS,Forage,1981/05/13,Paleocene,242,-16.85,14.9444444444,242
4033,THIES,TIVAOUNE,Darou Khoudoss,BAITY DIOUF  ICS - 62,"05-7X-0053","-16°45'06""","15°13'02""",SASIF,Piezometre,1984/02/03,Quaternaire,70,-16.7516666667,15.2172222222,70
4034,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0003","-16°50'25""","15°06'25""",HYDRAF,Sondage,1956/11/21,Paleocene,450,-16.8402777778,15.1069444444,450
4035,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0005","-16°50'30""","15°06'30""",HYDRAF,Forage,1959/01/10,Maastrichtien,481,-16.8416666667,15.1083333333,481
4036,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0006","-16°50'25""","15°06'30""",HYDRAF,Forage,1959/10/07,Maastrichtien,497.25,-16.8402777778,15.1083333333,497.25
4037,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0007","-16°50'25""","15°06'30""",HYDRAF,Forage,1960/08/31,Maastrichtien,481,-16.8402777778,15.1083333333,481
4038,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0008","-16°50'00""","15°07'00""",HYDRAF,Forage,1965/02/19,Maastrichtien,480,-16.8333333333,15.1166666667,480
4039,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0009","-16°51'03""","15°05'53""",HYDRAF,Forage,1965/11/29,Maastrichtien,468,-16.8508333333,15.0980555556,468
4040,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0010","-16°51'18""","15°05'30""",HYDRAF,Forage,1965/08/04,Maastrichtien,468,-16.855,15.0916666667,468
4041,THIES,TIVAOUNE,Darou Khoudoss,DAROU KHOUDOSS,"05-7X-0039","-16°50'40""","15°06'00""",SONAFOR,Forage,1985/10/05,Quaternaire,28,-16.8444444444,15.1,28
4042,THIES,TIVAOUNE,Darou Khoudoss,DAROU NDOYE,"05-7X-0026","-16°48'00""","15°15'20""",INTRAFOR,Forage,1981/03/27,Quaternaire,66,-16.8,15.2555555556,66
4043,THIES,TIVAOUNE,Darou Khoudoss,DAROU NDOYE  F2,"05-7X-0027","-16°48'00""","15°15'00""",INTRAFOR,Forage,1981/03/30,Quaternaire,66,-16.8,15.25,66
4044,THIES,TIVAOUNE,Darou Khoudoss,DAROU NDOYE  F3,"05-7X-0028","-16°47'40""","15°15'00""",INTRAFOR,Forage,,Quaternaire,65,-16.7944444444,15.25,65
4045,THIES,TIVAOUNE,Darou Khoudoss,DAROU NDOYE  F4,"05-7X-0029","-16°48'00""","15°15'00""",INTRAFOR,Forage,1981/05/08,Quaternaire,60,-16.8,15.25,60
4046,THIES,TIVAOUNE,Darou Khoudoss,DAROU SALAM DIOUF,"05-7X-0506","-16°49'37""","15°12'35""",CSL SENEGAL,Forage,2010/12/13,Quaternaire,60,-16.8269444444,15.2097222222,60
4047,THIES,TIVAOUNE,Darou Khoudoss,DIAMAGUENE,"05-7X-0040","-16°53'00""","15°08'42""",SONAFOR,Forage,1985/10/19,Quaternaire,37,-16.8833333333,15.145,37
4048,THIES,TIVAOUNE,Darou Khoudoss,DIOGO,"05-7X-0088","-16°47'12""","15°16'02""",CDE,Puits moderne,,Quaternaire,22,-16.7866666667,15.2672222222,22
4049,THIES,TIVAOUNE,Darou Khoudoss,FASS BOYE,"05-7X-0024","-16°50'50""","15°15'48""",COFOR,Forage,1979/10/12,Quaternaire,49.5,-16.8472222222,15.2633333333,49.5
4050,THIES,TIVAOUNE,Darou Khoudoss,FASS BOYE,"05-7X-0504","-16°50'33""","15°15'21""",CSL SENEGAL,Forage,2009/05/20,Quaternaire,38,-16.8425,15.2558333333,38
4051,THIES,TIVAOUNE,Darou Khoudoss,KEUR ASSANE MBAYE,"05-7X-0080","-16°42'33""","15°13'35""",WVI,Forage,1995/11/15,Quaternaire,52,-16.7091666667,15.2263888889,52
4052,THIES,TIVAOUNE,Darou Khoudoss,KEUR KHAR MBAYE,"05-7X-0081","-16°43'00""","15°13'41""",WVI,Forage,1995/11/25,Quaternaire,49,-16.7166666667,15.2280555556,49
4053,THIES,TIVAOUNE,Darou Khoudoss,KEUR LEMOU 1,"05-7X-0058","-16°54'15""","15°07'40""",SASIF,Forage,1990/02/14,Quaternaire,35,-16.9041666667,15.1277777778,35
4054,THIES,TIVAOUNE,Darou Khoudoss,KEUR LEMOU 2,"05-7X-0059","-16°54'10""","15°07'40""",SASIF,Forage,1990/03/23,Quaternaire,38,-16.9027777778,15.1277777778,38
4055,THIES,TIVAOUNE,Darou Khoudoss,MBORO,"05-7X-0094","-16°53'30""","15°09'05""",SONAFOR,Forage,1997/02/04,Maastrichtien,433,-16.8916666667,15.1513888889,433
4056,THIES,TIVAOUNE,Darou Khoudoss,MBORO F1,"05-7X-0060","-16°53'30""","15°09'05""",SONAFOR,Forage,1988/06/08,Continental terminal,25,-16.8916666667,15.1513888889,25
4057,THIES,TIVAOUNE,Darou Khoudoss,MBORO F2,"05-7X-0061","-16°53'30""","15°09'05""",SONAFOR,Forage,1988/06/23,Quaternaire,31.2,-16.8916666667,15.1513888889,31.2
4058,THIES,TIVAOUNE,Darou Khoudoss,MBORO KHONDIO,"05-7X-0013","-16°55'00""","15°07'10""",INTRAFOR,Piezometre,1970/10/15,Maastrichtien,422.5,-16.9166666667,15.1194444444,422.5
4059,THIES,TIVAOUNE,Darou Khoudoss,MBORO KHONDIO,"05-7X-0021","-16°54'00""","15°09'32""",SONAFOR,Forage,1979/08/30,Quaternaire,31,-16.9,15.1588888889,31
